Paper (#),Title,Authors,Insights,Methods Used,Results,Findings,Objectives
3,Control of electric thermal storage under real time pricing,"B. Daryanian, Roger E. Bohn, Richard D. Tabors","Electric rate structures, particularly real-time pricing (RTP), significantly impact thermal energy storage (ETS) systems allowing charging during lowest cost periods...","Implementation of real-time pricing (RTP), comparison with time-of-use (TOU) control through experiment",Nearly 50% increased benefits with RTP compared to TOU control,RTP significantly increases ETS systems' benefits to utilities compared to TOU,Evaluate effectiveness of RTP as a demand-side management for ETS
4,Sizing of electric thermal storage under real time pricing,"B. Daryanian, Roger E. Bohn",RTP significantly impacts TES sizing and operation for optimized electricity consumption,Simulation study analyzing storage sizes and optimization algorithms under RTP,Larger storage sizes under RTP lead to reduced utility service costs,Larger storage sizes beneficial but show diminishing returns at high capacities under RTP,Analyze RTP impact on TES sizing and utility cost savings
5,Commercial feasibility of thermal storage in buildings for utility load leveling,"J.G. Asbury, R.F. Giese, R.O. Mueller",Electric rates and incentives are key for commercial viability of thermal storage,Economic viability analysis across four different utility service areas,Thermal storage systems cost-effective particularly aligned with suitable rate structures,Broad applicability and effectiveness linked to season and regional demand patterns,Evaluate cost-effectiveness for utility load leveling using thermal storage systems
6,Leveraging thermal storage to cut the electricity bill for datacenter cooling,"Yefu Wang, Xiaorui Wang, Yanwei Zhang",Utilization of TStore and thermal masses reduces cooling costs significantly,"CFD simulation, overcooling, auxiliary thermal storage tanks",16.8% electricity bill reduction achieved compared to traditional methods,Effective reduction in bills with maintained cooling performance,Design and evaluate TStore leveraging variable electricity prices for optimized cooling
9,A Comprehensive Building Load Optimization Method from Utility Rate Structure Perspective with Renewables and Energy Storage,"A S M Jahid Hasan, Luis Fernando Enriquez-Contreras, Jubair Yusuf",Addresses optimization of loads and BESS integration considering rate structures,Comprehensive optimization model addressing diversity in utility rate structures,BESS beneficial for buildings under CPP structures,BESS systems particularly advantageous for CPP structures and low load factor buildings,Develop optimization model for informed decision making for renewables and storage
10,Using the thermal energy storage potential of residential homes for ToU rate savings and demand response,"Steven Wong, Nicolas Levesque, Véronique Delisle",ToU rates influence residential TES effectiveness,"Four-capacitance model simulations using Matlab, various thermostat strategies evaluated",Moderate cost savings achievable through TES with advanced thermostat strategies,TES and smart thermostats achieve cost savings under ToU rates with minimal discomfort,"Simulate DR strategies for residential TES, assess comfort and consumption impacts"
13,Design and performance of a long duration electric thermal energy storage demonstration plant at megawatt-scale,"Jan Eggers, Michael von der Heyde, Sören Hendrik Thaele",,"Electric thermal energy storage (ETES), horizontal-flow design, low-cost natural rocks",,,
14,Cost-effective Electro-Thermal Energy Storage to balance small scale renewable energy systems,"Sampson Tetteh, Maryam Roza Yazdani, Annukka Santasalo-Aarnio",,"Modular electro-thermal ETES with thermal oil, molten salt, sand, Stirling engines, electric heater",,,
18,ThermalThrift: Cost Effective Thermal Energy Storage for Load Shifting with Water Heaters,"Erin Griffiths, Kamin Whitehouse",,"ThermalThrift system, water usage data collection, TOU pricing schedules analysis",,,
19,Electrically charged thermal energy storage systems for grid-level electricity storage,Laureen Meroueh,,"Evaluation of chemical, thermal, mechanical storage, focus on PCMs, two system designs proposed",,,
20,Thermo-economic design of an electric heater to store renewable curtailment in solar power tower plants,"D. Pardillos-Pobo, P.A. González-Gómez, M. Laporte-Azcué",,Electric heater in solar power tower plant design optimized for LCOS,,,
11,Thermal Energy Storage for Electricity Peak-demand Mitigation: A Solution in Developing and Developed World Alike,"Nicholas DeForest, Goncalo Mendes, Michael Stadler",Simulation with DER-CAM model to optimize TES sizing for office buildings in diverse climates.,"DER-CAM simulation across Miami, Lisbon, Shanghai, Mumbai; EnergyPlus 7.0 for building simulations",,,Evaluate TES effectiveness in reducing peak electricity demand globally.
12,The Price is Right? Encouraging Load Shifting with Time of Use Rates,"Ellen Franconi, Xuechen Lei, Wooyoung Jung",Optimization of battery system discharge using extensive TOU rate analysis.,"Building simulation analysis, OpenEI rate database",,Critical role of demand charges in battery storage economics,Assess economics and incentive levels required for battery storage viability with TOU rates.
15,Reducing energy costs and minimizing capital requirements: case studies of thermal energy storage (tes),John S. Andrepont,,,,,
16,Addressing energy storage needs at lower cost via on-site thermal energy storage in buildings,"Adewale Odukomaiya, Jason Woods, Nelson James",Framework to calculate LCOS comparing TES with lithium-ion batteries; includes load projections for 2050,"LCOS calculation, load projections, phase change materials (PCM) configurations",,,Enhance TES efficiency and effectiveness with HVAC-integrated PCM
17,Cost optimal operation of thermal energy storage system with real-time prices,"Toru Kashima, Stephen Boyd",Optimization of TES operation using MILP considering future demands and electricity pricing,"Mixed integer linear programming (MILP), branch and bound algorithm",,Efficient optimization achievable through MILP formulation,Optimize TES system operation economically under real-time pricing
3,Control of electric thermal storage under real time pricing,"B. Daryanian, Roger E. Bohn, Richard D. Tabors","Electric rate structures, particularly real-time pricing (RTP), significantly impact thermal energy storage (ETS) systems allowing charging during lowest cost periods...","Implementation of real-time pricing (RTP), comparison with time-of-use (TOU) control through experiment",Nearly 50% increased benefits with RTP compared to TOU control,RTP significantly increases ETS systems' benefits to utilities compared to TOU,Evaluate effectiveness of RTP as a demand-side management for ETS
4,Sizing of electric thermal storage under real time pricing,"B. Daryanian, Roger E. Bohn",RTP significantly impacts TES sizing and operation for optimized electricity consumption,Simulation study analyzing storage sizes and optimization algorithms under RTP,Larger storage sizes under RTP lead to reduced utility service costs,Larger storage sizes beneficial but show diminishing returns at high capacities under RTP,Analyze RTP impact on TES sizing and utility cost savings
1,Electric rate structures for thermal energy storage evaluation,"D.R. Brown, S.M. Garrett, J.M. Sedgewick","Electric rate structures significantly impact TES by influencing design and economic viability, particularly RTP.","General approach involving industry consultation, statistical analysis",Characterized range of utility rate structures for TES,Different rate structures affect economic viability of TES; multiple rate scenarios necessary for accuracy,Identify optimal utility rate structures for economic feasibility of TES
2,Control of Thermal Energy Storage in Commercial Buildings for California Utility Tariffs and Demand Response,"Rongxin Yin, Doug Black, Piette Mary A.","Electric rates significantly impact TES system economics, particularly regarding demand charges","EnergyPlus simulations, analysis under DR programs","Partial storage TES systems more effective for DR, offering quicker payback periods",Partial storage systems favorable for moderate rate incentives and smaller customers,Develop simulations for assessing TES integration into DR programs under California tariffs
7,Can storage reduce electricity consumption? A general equation for the grid-wide efficiency impact of using cooling thermal energy storage for load shifting,"Thomas A. Deetjen, Andrew Reimers, Michael E. Webber",Focuses on the efficiency gains from using Cooling Thermal Energy Storage (CTES) for load shifting to reduce grid-wide energy consumption.,"Efficiency modeling, graphical sensitivity analysis",Significant potential for energy savings and reduction in primary fuel consumption demonstrated,CTES can enhance grid-wide efficiency under optimal conditions,Estimate grid-wide energy savings potential of CTES
8,Implications of Rate Design for the Customer-Economics of Behind-the-Meter Storage,"Naim Darghouth, Galen Barbose, Andrew Mills","Rate designs such as TOU, CPP, and RTP significantly influence economics of behind-the-meter storage systems.","Perfect foresight dispatch algorithm using HOMER, evaluation of rate designs",Demand charge savings vary significantly based on rate design and storage duration,Longer duration storage yields greater arbitrage savings compared to demand charge savings,Investigate the impact of rate designs on economics and bill savings of behind-the-meter storage
16,Electric tariffs and thermal energy storage systems for buildings,Ahmet Fertelli,,"Examined ten-year price changes of heating fuels, analyzed hourly electricity consumption during heating season",Thermal energy storage systems 20-40% less costly until 2020; 40-55% less costly than natural gas in 2021-2022,Thermal energy storage reduces costs by 20-55%,
17,Optimum storage size for thermal energy storage system,"A.H. Kassim, Mohamad Taib Miskon, Ilham Rustam",,"Cost evaluation using C1 and C2 tariff comparison; assessment of extra load, energy, cost from TES",TES best with 100% storage capacity; C2 tariff provides optimum cost saving,Improved TES performance and cost-effectiveness with optimal tariffs,
18,Thermal Energy Storage Systems,"Ehsan Mohseni Languri, Glenn Cunningham",,"Sensible, latent, and thermo-chemical TES systems; reversible chemical reactions",Overview of TES types; challenges and potential applications discussed,Improved thermal conductivity enhances response; form-stable composites minimize PCM leakage,
19,Thermal Energy Storage: Solutions for Demand Management,John S. Andrepont,,"Review of TES technologies, case histories",TES provides flexibility for cooling; economic benefits realized,TES offers flexibility and economic benefits; distinct advantages and limitations of various technologies,
20,The Influence of Different Network Tariffs on Distribution Grid Reinforcement Costs,"L. Kundert, A. Heider, Gabriela Hug",,"Cost-minimizing consumer-based optimization, case study of six grids in Germany",Time-varying tariffs can increase grid reinforcement costs; constant tariffs reduce costs by 9.5%,Time-varying tariffs increase costs; constant tariffs reduce costs by 9.5%,
11,Thermal Energy Storage (TES): Optimizing the Economics of Energy and Capital,John S. Andrepont,,Analysis of large capacity TES applications and trends; examination of energy efficiency and economic benefits,Significant energy efficiency gains; large capital cost savings compared to conventional systems,Large capacity TES installations show significant energy efficiency gains; lower supply temperatures optimize system performance and reduce costs,
12,Potenziale der Integration thermischer Energiespeicher in Dampfkraftwerke,"Thomas Loeper, Michael Krüger, Marcel Richter",,Development and evaluation of storage integration concepts; stationary system simulations for net power output changes,Minimum load reduction up to 4% during charging; load increase up to 5% during discharging,Three leading concepts for thermal energy storage integration identified; efficiency improvements through simulations,
13,Impact of tariff structures on energy community and grid operational parameters,"Bodan Velkovski, Vladimir Gjorgievski, Despoina Kothona",,Mixed-integer linear programming optimization; analysis of different tariff structures for energy sharing incentives,"Energy sharing reduces grid losses, peak loads, reverse flows; dynamic tariffs yield favorable results",Dynamic tariffs and capacity payments enhance community energy sharing benefits,
